date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:52	4213/4213	---M--	200	added ('OK')	image/svg+xml	etag:W/%221075-15dc172c126%22	http://foodees.in/images/icons/fitbit-logo.svg	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/images/icons/fitbit-logo.svg	(from http://foodees.in/css/style.css)
12:27:52	91460/91460	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%2216544-15dc172b7c6%22	http://foodees.in/fonts/Lato-HairlineItalic.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-HairlineItalic.ttf	(from http://foodees.in/css/style.css)
12:27:53	6666/6666	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221a0a-15dc172bc2e%22	http://foodees.in/fonts/foodees-icon.eot	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/foodees-icon.eot	(from http://foodees.in/css/style.css)
12:27:54	4804/4804	---M--	200	added ('OK')	application/font-woff	etag:W/%2212c4-15dc172bfee%22	http://foodees.in/fonts/foodees-icon.woff	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/foodees-icon.woff	(from http://foodees.in/css/style.css)
12:27:56	115316/115316	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221c274-15dc172b6ee%22	http://foodees.in/fonts/Lato-Hairline.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Hairline.ttf	(from http://foodees.in/css/style.css)
12:27:56	6666/6666	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221a0a-15dc172bc2e%22	http://foodees.in/fonts/foodees-icon.eot?	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/foodees-icond41d.eot	(from http://foodees.in/css/style.css)
12:27:57	13952/13952	---M--	200	added ('OK')	image/svg+xml	etag:W/%223680-15dc172bf02%22	http://foodees.in/fonts/foodees-icon.svg	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/foodees-icon.svg	(from http://foodees.in/css/style.css)
12:27:57	30701/30701	---M--	200	added ('OK')	image/png	etag:W/%2277ed-15dc172bea6%22	http://foodees.in/images/fitbit.png	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/images/fitbit.png	(from http://foodees.in/css/style.css)
12:27:57	6488/6488	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221958-15dc172bfa6%22	http://foodees.in/fonts/foodees-icon.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/foodees-icon.ttf	(from http://foodees.in/css/style.css)
12:27:58	8484/8484	---MCZ	200	added ('OK')	text/html	etag:W/%222124-15dc172b3de%22	http://foodees.in/#/fonts/templates.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/#/fonts/templates.html	(from http://foodees.in/#/fonts/Lato-Medium.ttf)
12:27:58	66928/66928	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%2210570-15dc172bff6%22	http://foodees.in/fonts/gloriahallelujah.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/gloriahallelujah.ttf	(from http://foodees.in/css/style.css)
